Preço,Área (m²),Quartos,Banheiros,Garagem,Localização
401995,151,1,1,2,Zona Sul
828843,43,1,1,0,Zona Sul
722843,134,1,2,0,Centro
406508,191,3,2,0,Centro
953591,176,3,3,2,Zona Sul
256530,286,4,3,0,Centro
754365,282,2,3,2,Centro
972352,70,3,2,0,Zona Sul
610337,79,2,1,1,Zona Sul
874839,268,4,1,2,Subúrbio
955889,75,2,3,2,Zona Sul
609773,262,3,3,0,Zona Sul
358261,45,2,3,2,Zona Norte
914469,259,3,3,2,Subúrbio
491097,114,2,2,1,Subúrbio
465139,43,3,1,1,Subúrbio
321829,173,3,3,0,Zona Norte
421836,157,2,2,1,Zona Sul
588974,133,4,3,0,Subúrbio
352283,101,1,3,0,Subúrbio
346769,233,4,1,0,Centro
711353,242,2,3,2,Subúrbio
373165,65,4,1,1,Zona Sul
773587,212,3,1,0,Zona Sul
685822,172,1,1,1,Centro
637879,157,2,2,0,Subúrbio
714685,251,2,2,1,Subúrbio
932038,264,2,1,1,Subúrbio
503531,59,1,3,0,Zona Norte
413160,152,3,1,2,Subúrbio
729879,179,2,3,1,Zona Sul
370884,86,4,1,2,Zona Sul
173247,40,2,3,2,Zona Norte
174300,129,2,2,0,Zona Norte
617281,181,2,3,0,Subúrbio
757086,77,2,1,0,Centro
683556,178,3,2,1,Zona Norte
498951,298,4,3,0,Zona Norte
424329,200,3,3,0,Subúrbio
869064,217,4,3,1,Subúrbio
892139,49,2,3,1,Zona Norte
582315,177,1,3,0,Centro
666588,211,3,2,0,Zona Norte
386584,52,1,2,0,Subúrbio
712332,207,3,2,0,Subúrbio
987646,169,2,2,2,Zona Norte
526896,123,3,1,2,Centro
198984,140,2,2,0,Zona Norte
452918,77,3,3,2,Zona Norte
414712,133,2,3,1,Subúrbio
270151,134,2,2,2,Centro
605808,108,4,3,2,Zona Sul
283767,275,2,2,0,Centro
798663,176,4,3,2,Zona Norte
853550,115,2,1,2,Zona Norte
286330,74,1,1,2,Zona Norte
630754,40,2,2,2,Centro
451648,99,1,2,1,Subúrbio
838519,268,1,2,0,Zona Norte
163986,252,2,3,0,Zona Norte
736146,204,1,2,1,Centro
279312,44,4,1,2,Zona Sul
162666,117,3,3,1,Zona Sul
450804,101,2,2,2,Subúrbio
284633,171,1,3,1,Subúrbio
438998,128,2,3,0,Zona Norte
778776,276,4,2,0,Centro
857611,81,2,3,0,Zona Norte
434806,128,2,1,2,Subúrbio
944824,143,1,1,2,Centro
180535,53,4,3,1,Centro
525713,218,3,2,1,Subúrbio
988688,164,3,3,0,Zona Sul
501279,62,1,1,2,Zona Sul
971654,102,2,3,1,Centro
751661,182,1,3,2,Zona Norte
797972,192,1,1,2,Zona Sul
639570,184,1,3,0,Zona Norte
606551,264,2,3,0,Zona Sul
423109,143,4,2,2,Zona Sul
174538,143,1,2,2,Zona Norte
351664,78,2,1,2,Subúrbio
641234,237,4,1,2,Zona Sul
289182,173,1,1,0,Zona Sul
622525,106,3,2,1,Zona Norte
308338,218,4,1,0,Subúrbio
334064,81,1,1,1,Zona Sul
364020,54,4,1,2,Zona Sul
773094,150,4,2,1,Subúrbio
765270,196,4,3,0,Zona Sul
795914,270,4,1,0,Subúrbio
269176,196,4,3,2,Subúrbio
368126,77,4,1,0,Zona Norte
368969,136,1,3,2,Centro
272409,293,3,2,0,Subúrbio
697707,235,2,2,0,Zona Norte
403618,125,4,1,2,Centro
919598,49,2,3,1,Zona Sul
200015,44,1,2,0,Centro
922838,162,4,1,1,Subúrbio
272096,157,3,1,0,Subúrbio
781347,198,2,2,0,Subúrbio
335340,267,4,2,0,Subúrbio
260687,255,1,1,0,Subúrbio
561357,223,3,3,1,Zona Norte
885716,54,2,3,1,Subúrbio
255878,196,2,3,0,Zona Norte
877270,175,4,1,0,Zona Sul
348286,196,3,2,1,Subúrbio
923290,86,3,1,2,Subúrbio
924684,212,3,2,2,Centro
314899,169,3,3,1,Zona Sul
474767,134,1,3,0,Subúrbio
529989,154,3,2,0,Subúrbio
565515,282,2,2,2,Zona Sul
193585,108,2,1,2,Zona Norte
521369,187,1,3,1,Subúrbio
214044,50,2,1,2,Centro
592296,293,2,1,1,Subúrbio
259556,77,3,1,2,Centro
676981,173,2,3,2,Centro
917595,239,1,1,2,Subúrbio
350235,62,3,1,0,Subúrbio
175939,257,4,1,0,Centro
302906,180,3,1,0,Zona Sul
692335,143,1,1,2,Zona Sul
438249,249,3,1,1,Subúrbio
225766,150,3,3,1,Zona Norte
558923,143,1,1,1,Zona Sul
565192,210,3,2,1,Subúrbio
718550,172,1,1,0,Zona Sul
537261,166,1,1,0,Zona Norte
960208,145,4,3,2,Subúrbio
835440,131,2,3,2,Zona Norte
802664,90,2,2,1,Subúrbio
604589,68,3,2,0,Zona Norte
287848,253,3,3,1,Zona Sul
767075,296,4,3,2,Zona Sul
277948,140,4,1,2,Zona Norte
729304,149,4,3,1,Zona Norte
552690,221,1,2,2,Zona Norte
649046,40,4,1,1,Subúrbio
601269,94,4,2,0,Zona Sul
171959,188,3,1,1,Subúrbio
810890,176,4,3,0,Zona Sul
900216,241,1,2,0,Centro
940180,156,1,1,2,Subúrbio
378576,193,3,1,2,Zona Sul
687833,102,4,3,2,Zona Sul
315838,283,4,3,1,Subúrbio
485674,64,1,3,1,Subúrbio
211087,129,4,2,2,Zona Sul
743128,114,4,1,1,Subúrbio
268451,249,4,3,2,Zona Norte
597600,56,2,2,1,Subúrbio
987437,167,3,2,0,Subúrbio
589792,290,2,2,0,Subúrbio
189353,218,3,3,2,Zona Sul
343075,221,1,3,1,Zona Norte
364283,191,4,1,1,Centro
464877,64,3,1,0,Centro
215318,219,2,3,0,Zona Norte
915313,237,4,2,2,Zona Norte
632690,200,1,2,0,Zona Norte
566880,216,3,2,2,Zona Sul
741460,102,3,1,0,Centro
890976,189,3,2,0,Zona Norte
931239,193,4,1,1,Zona Sul
243264,195,2,1,0,Centro
920746,88,2,2,0,Subúrbio
963168,123,3,2,2,Zona Sul
375281,216,1,3,0,Centro
787147,187,1,3,2,Zona Sul
544070,157,2,2,0,Centro
502228,102,1,1,0,Centro
581839,228,2,1,2,Subúrbio
419536,88,3,1,1,Zona Sul
467824,296,2,1,2,Zona Norte
407426,263,2,1,2,Subúrbio
327789,180,3,3,2,Subúrbio
663153,254,1,2,1,Centro
892452,250,2,3,0,Zona Norte
987291,71,2,1,2,Zona Sul
275657,197,3,1,2,Zona Norte
385167,183,1,1,1,Zona Norte
831669,58,2,1,2,Zona Norte
630671,57,3,2,0,Zona Norte
869094,296,2,1,1,Zona Norte
220467,117,4,2,0,Centro
333734,214,3,1,0,Centro
772794,233,1,2,1,Subúrbio
259751,152,1,3,2,Centro
531050,153,1,1,0,Subúrbio
961774,261,1,2,0,Subúrbio
842517,205,2,3,0,Zona Sul
611079,171,2,1,0,Zona Norte
518452,94,1,1,1,Centro
256081,170,1,1,1,Zona Sul
763333,201,1,2,0,Centro
708986,126,2,2,2,Subúrbio
260078,94,1,3,0,Centro
172671,217,1,2,2,Zona Norte
568400,47,4,2,0,Subúrbio
505528,286,4,1,2,Subúrbio
760490,294,1,1,0,Zona Sul
201663,93,3,1,2,Zona Norte
165708,288,1,1,0,Subúrbio
461955,278,4,1,0,Zona Norte
283883,268,3,1,2,Centro
468394,106,3,1,1,Zona Norte
262547,90,1,3,2,Subúrbio
709042,136,4,3,1,Zona Sul
901102,131,4,3,0,Subúrbio
912002,135,3,3,2,Zona Norte
292483,127,1,1,2,Zona Norte
808271,117,2,3,2,Subúrbio
364835,159,2,1,1,Zona Norte
551896,204,4,3,1,Centro
234896,221,2,2,0,Subúrbio
627095,262,4,3,1,Zona Sul
221295,46,4,3,1,Subúrbio
893974,200,4,1,0,Centro
423255,190,2,3,2,Centro
449648,124,4,2,2,Centro
807162,186,3,1,0,Centro
158155,151,1,1,2,Centro
616872,75,1,3,1,Zona Sul
975816,227,4,1,0,Zona Norte
524705,121,1,1,0,Centro
721542,41,2,1,0,Centro
958350,236,2,1,2,Subúrbio
760269,50,1,1,0,Zona Sul
704594,273,2,1,0,Zona Sul
297718,234,1,2,0,Zona Norte
458987,158,1,3,2,Zona Sul
795263,59,1,2,1,Subúrbio
508745,295,4,1,0,Subúrbio
257512,261,1,1,1,Zona Norte
297443,265,4,3,2,Subúrbio
620587,92,1,2,2,Centro
523616,120,1,3,2,Centro
807409,241,1,2,2,Subúrbio
836976,197,2,1,1,Zona Norte
515871,159,4,3,0,Zona Sul
525037,98,4,3,2,Zona Norte
957364,254,1,1,2,Zona Sul
267796,167,1,3,1,Subúrbio
441999,263,2,2,1,Subúrbio
342506,248,2,2,2,Centro
848376,154,2,2,0,Zona Sul
419544,248,4,2,0,Zona Norte
530002,53,4,1,2,Subúrbio
848002,48,4,3,1,Zona Norte
689439,79,1,2,2,Centro
740978,276,4,1,2,Zona Sul
678787,240,3,3,1,Zona Sul
680583,285,3,3,2,Subúrbio
538215,274,2,1,2,Zona Sul
471184,43,4,1,2,Subúrbio
948615,193,3,2,1,Centro
572515,68,2,3,0,Zona Sul
818234,148,4,3,0,Subúrbio
528480,137,1,1,1,Zona Norte
182711,254,3,3,0,Subúrbio
941971,114,1,2,2,Zona Sul
651157,185,4,3,0,Centro
334423,167,3,1,2,Zona Sul
666349,81,4,1,0,Zona Sul
853714,80,1,2,1,Subúrbio
807917,73,3,2,0,Zona Norte
974792,56,1,3,0,Zona Sul
887378,204,4,3,0,Zona Norte
283272,192,4,1,1,Subúrbio
917836,115,1,2,0,Zona Norte
852335,126,3,2,1,Subúrbio
957789,156,1,2,2,Centro
793409,66,4,3,0,Zona Norte
227505,173,1,2,1,Zona Norte
152869,258,4,1,1,Centro
931474,207,1,1,0,Zona Norte
604351,137,3,3,2,Centro
462252,276,3,3,1,Zona Sul
786584,212,1,2,0,Subúrbio
768467,229,1,3,2,Centro
240272,161,3,1,1,Zona Norte
188467,85,4,2,1,Centro
959760,103,3,1,2,Zona Norte
630047,169,4,2,2,Zona Sul
809347,232,1,3,0,Centro
208871,220,1,2,0,Zona Sul
278391,68,4,2,1,Subúrbio
589430,188,1,1,2,Zona Norte
760704,50,4,1,2,Zona Norte
980496,203,2,2,2,Zona Sul
406687,152,3,3,1,Subúrbio
875451,226,2,3,2,Centro
257450,271,4,1,2,Centro
321890,266,3,3,1,Zona Norte
588741,137,4,1,0,Zona Sul
431974,94,3,3,0,Zona Sul
550109,150,3,2,1,Centro
266381,191,3,1,2,Subúrbio
623125,285,3,1,1,Subúrbio
721621,108,4,2,0,Centro
284508,289,3,1,0,Centro
879650,75,3,3,1,Zona Sul
549111,278,2,3,1,Subúrbio
300810,187,1,1,0,Centro
442890,266,1,3,1,Centro
723665,283,2,1,0,Zona Norte
990477,240,2,2,1,Centro
510032,193,4,1,1,Centro
519599,112,4,2,1,Subúrbio
810960,240,4,3,0,Zona Sul
900020,56,2,2,1,Subúrbio
321836,168,2,3,0,Zona Sul
879903,256,3,1,0,Zona Norte
195714,100,4,3,1,Centro
777234,143,4,1,1,Zona Norte
780271,81,4,1,0,Zona Sul
616960,64,1,2,0,Subúrbio
861851,78,3,2,2,Subúrbio
274123,170,4,2,0,Zona Norte
455628,268,4,2,2,Zona Sul
232989,147,4,3,2,Zona Norte
448356,211,1,3,2,Zona Norte
979957,141,1,3,1,Centro
328274,51,2,1,1,Zona Norte
837995,140,3,3,0,Centro
475352,83,2,3,2,Centro
970260,56,3,3,1,Subúrbio
561927,96,1,2,1,Centro
939852,51,4,3,1,Centro
281373,119,2,1,1,Subúrbio
588452,255,4,2,1,Zona Norte
265294,188,2,1,2,Zona Sul
609451,120,1,3,2,Zona Sul
798307,254,1,2,2,Zona Sul
215726,237,1,1,2,Zona Norte
291564,239,2,3,0,Centro
527812,64,3,1,2,Zona Sul
418246,128,2,1,1,Zona Norte
855696,182,3,1,2,Centro
268015,98,2,3,0,Subúrbio
890674,65,2,3,1,Zona Sul
404079,86,1,1,2,Centro
700929,55,4,2,2,Zona Sul
839944,238,4,2,2,Zona Sul
838105,125,3,3,1,Zona Sul
663758,289,4,3,1,Centro
515890,156,2,3,0,Zona Norte
595101,46,2,3,1,Centro
186631,176,1,3,1,Zona Sul
916577,215,1,2,2,Centro
222991,254,4,3,1,Subúrbio
154014,121,3,1,2,Zona Norte
423237,262,4,1,2,Centro
168070,142,4,2,1,Subúrbio
972209,53,4,1,0,Zona Norte
206958,198,4,2,0,Subúrbio
232074,191,2,2,1,Zona Norte
685017,147,3,1,0,Centro
905073,227,2,3,2,Subúrbio
326089,137,3,1,2,Zona Sul
347392,170,1,1,1,Subúrbio
308823,210,4,2,0,Zona Norte
780152,222,2,1,0,Centro
543002,78,3,2,2,Zona Norte
883429,54,1,3,1,Subúrbio
648863,43,1,3,0,Subúrbio
517654,249,4,3,1,Zona Sul
729036,200,3,1,0,Centro
680089,55,2,2,2,Centro
300262,147,4,3,2,Subúrbio
592905,266,2,2,1,Centro
385362,209,1,2,2,Zona Sul
594209,73,2,3,0,Zona Norte
703880,290,2,3,2,Centro
947079,286,4,2,1,Subúrbio
814076,180,2,3,1,Zona Norte
369963,135,4,2,1,Zona Norte
630761,266,1,2,0,Zona Sul
398710,78,4,3,0,Subúrbio
370984,68,4,1,0,Centro
932355,284,3,3,0,Subúrbio
414512,275,2,1,0,Zona Norte
751863,224,1,2,2,Subúrbio
418799,275,4,2,0,Centro
387549,278,1,1,0,Centro
744319,104,3,2,2,Zona Sul
634299,216,2,1,0,Centro
762210,42,4,1,1,Centro
598982,181,2,2,0,Subúrbio
274046,197,3,1,0,Subúrbio
556619,185,3,3,1,Zona Norte
182097,192,1,3,1,Zona Sul
816326,232,4,2,1,Subúrbio
799150,112,1,2,1,Centro
380229,179,3,1,0,Zona Norte
268834,226,2,1,1,Subúrbio
243848,100,1,1,1,Zona Sul
202921,237,1,1,2,Zona Sul
855086,50,2,3,1,Zona Norte
800429,101,1,3,1,Zona Norte
855660,265,2,2,2,Zona Norte
434821,192,4,1,2,Zona Norte
205609,238,2,1,0,Zona Norte
377897,91,4,2,2,Centro
181024,299,2,1,0,Centro
220313,98,3,1,2,Subúrbio
539957,111,3,1,2,Zona Sul
334078,187,4,1,0,Centro
507429,102,4,1,2,Centro
611243,282,3,2,0,Centro
263632,146,4,1,2,Subúrbio
401451,265,2,2,1,Zona Norte
153051,257,2,1,2,Subúrbio
854107,280,3,3,0,Zona Sul
526836,298,1,3,2,Zona Sul
761523,44,2,3,0,Zona Sul
871772,93,4,3,0,Zona Sul
339407,86,1,2,1,Centro
599395,254,1,2,1,Centro
612894,216,2,1,0,Subúrbio
361810,48,2,3,2,Zona Norte
877975,138,1,2,0,Zona Sul
223523,59,1,1,0,Subúrbio
910463,280,3,1,2,Centro
244476,100,4,2,2,Centro
383841,217,3,3,2,Zona Norte
953451,101,2,1,2,Zona Norte
372866,184,3,3,0,Zona Norte
236672,255,3,3,0,Subúrbio
748135,42,3,3,1,Centro
494894,199,3,1,0,Centro
884994,266,4,3,2,Zona Norte
178251,159,4,1,1,Zona Sul
777769,128,1,3,2,Zona Norte
524710,107,2,1,0,Subúrbio
700233,137,3,3,1,Zona Norte
182217,144,1,2,2,Zona Norte
158308,162,1,3,1,Subúrbio
418093,68,1,3,1,Zona Norte
333062,176,4,1,0,Centro
544366,234,3,1,2,Zona Sul
894840,265,3,3,1,Zona Norte
250235,209,2,2,1,Subúrbio
224740,48,3,2,2,Zona Sul
528496,79,3,1,1,Subúrbio
900201,64,1,2,1,Zona Sul
953328,265,2,3,1,Zona Sul
327247,163,3,1,2,Zona Norte
813165,77,4,3,2,Centro
679525,290,3,1,2,Zona Norte
170056,215,1,1,2,Subúrbio
326615,129,4,1,0,Subúrbio
337628,76,1,1,1,Zona Sul
788836,215,3,2,2,Zona Sul
523632,120,4,3,1,Centro
284415,153,2,3,1,Zona Norte
556716,79,2,3,0,Subúrbio
596438,263,4,1,2,Zona Sul
703663,154,4,2,2,Centro
815022,225,1,3,1,Subúrbio
691252,95,4,2,2,Zona Sul
787717,79,1,1,1,Subúrbio
402764,79,3,3,1,Centro
864998,276,1,2,0,Centro
616882,255,4,1,0,Subúrbio
890427,186,4,2,0,Zona Norte
662153,207,3,3,1,Subúrbio
217215,131,4,3,2,Zona Sul
294356,98,4,1,0,Zona Norte
353861,98,2,1,2,Zona Sul
505612,208,2,1,0,Subúrbio
604605,84,3,2,0,Zona Norte
159435,220,1,2,1,Zona Sul
597556,209,2,2,0,Subúrbio
849438,230,1,1,0,Subúrbio
725581,194,4,3,1,Zona Norte
228781,227,2,3,2,Subúrbio
341475,46,3,2,0,Centro
310196,172,3,2,1,Zona Sul
376507,274,3,3,0,Zona Sul
456063,84,2,3,1,Subúrbio
914121,288,1,2,2,Subúrbio
926665,70,4,2,2,Centro
840607,62,1,3,1,Zona Norte
271172,199,1,1,1,Subúrbio
506902,197,4,2,1,Subúrbio
634963,78,4,3,2,Subúrbio
605968,121,2,3,0,Subúrbio
468717,297,2,3,2,Zona Sul
209101,245,2,3,1,Subúrbio
645972,116,2,1,1,Zona Sul
438790,51,2,3,2,Subúrbio
697337,263,4,2,1,Zona Norte
884965,52,1,1,2,Centro
510260,85,2,3,1,Zona Norte
742673,194,2,1,0,Subúrbio
800419,152,1,2,0,Subúrbio
583374,272,2,3,1,Subúrbio
870777,56,1,2,2,Zona Norte
697577,262,1,3,0,Subúrbio
522370,227,4,3,2,Zona Norte
421967,202,3,3,1,Zona Sul
341232,113,4,3,2,Centro
454119,272,3,3,0,Centro
159540,263,3,1,2,Zona Norte
690652,99,3,3,2,Zona Sul
547827,261,2,3,1,Zona Norte
701951,76,4,1,1,Zona Sul
201991,235,3,1,1,Subúrbio
338751,281,1,1,0,Zona Sul
516326,258,2,1,0,Zona Sul
836337,231,4,1,1,Zona Sul
768992,56,3,1,1,Centro
199115,51,1,3,0,Zona Sul
503151,232,4,3,0,Subúrbio
893583,61,4,2,0,Subúrbio
341962,159,2,3,0,Subúrbio
871747,249,4,3,1,Zona Sul
299143,231,2,1,0,Zona Norte
864635,214,3,1,1,Zona Norte
686226,243,2,3,2,Subúrbio
503824,203,1,2,2,Centro
154000,290,2,1,0,Zona Norte
875948,266,1,3,2,Zona Sul
505754,46,2,3,2,Zona Norte
401492,68,4,2,2,Subúrbio
649522,72,3,2,0,Centro
641072,173,1,1,0,Zona Norte
188304,118,2,2,2,Zona Norte
654999,97,2,3,1,Subúrbio
481593,65,2,3,2,Centro
757274,265,4,2,0,Centro
301836,43,4,2,0,Subúrbio
258940,138,1,2,0,Zona Sul
974926,78,1,2,2,Zona Norte
415517,196,4,1,1,Zona Sul
817521,114,1,2,0,Zona Norte
771820,169,3,1,0,Zona Norte
535777,214,3,3,2,Zona Sul
774674,123,4,2,1,Subúrbio
701638,61,1,1,2,Subúrbio
767296,66,2,2,0,Zona Norte
699639,234,3,3,1,Subúrbio
762956,275,4,3,1,Zona Norte
788873,131,1,3,0,Subúrbio
487497,60,4,2,1,Zona Norte
357869,123,2,2,1,Subúrbio
215953,186,3,1,2,Centro
993890,296,4,3,0,Zona Sul
650328,97,4,2,0,Centro
956790,54,4,3,0,Zona Sul
153267,201,2,3,0,Zona Sul
232745,202,4,1,0,Zona Norte
974945,51,2,1,1,Zona Sul
307164,247,2,1,2,Centro
685626,66,2,1,0,Centro
281484,111,3,3,2,Subúrbio
681831,99,3,1,2,Centro
210692,184,4,1,1,Subúrbio
370156,132,4,1,0,Zona Sul
373992,47,3,1,1,Centro
666771,118,1,3,0,Zona Sul
980857,66,3,1,1,Centro
713044,213,2,3,2,Centro
693176,89,3,2,0,Subúrbio
841095,238,2,3,2,Zona Sul
983727,220,4,3,2,Centro
264352,63,1,1,1,Zona Norte
235999,85,4,2,0,Zona Sul
167955,54,2,2,2,Zona Sul
974273,192,2,2,1,Zona Sul
220640,261,2,2,0,Subúrbio
346582,245,1,3,0,Zona Norte
894086,275,3,2,2,Zona Sul
550573,267,4,3,0,Centro
575695,48,4,3,2,Centro
211476,205,3,3,0,Subúrbio
456955,253,4,2,1,Centro
317280,156,1,1,2,Zona Sul
825510,111,4,1,2,Centro
745468,103,2,2,0,Zona Sul
848646,244,3,1,0,Centro
787144,248,1,1,2,Zona Norte
564568,111,3,3,0,Subúrbio
336141,134,1,3,1,Subúrbio
784736,205,2,2,0,Zona Norte
688685,71,3,2,1,Zona Norte
328031,50,4,1,1,Subúrbio
269180,256,1,3,1,Zona Norte
216234,141,3,2,1,Zona Sul
714242,253,4,2,1,Centro
328352,218,3,2,0,Subúrbio
229459,127,3,2,1,Zona Norte
559995,80,3,2,0,Zona Sul
345004,115,1,2,1,Subúrbio
616152,85,4,1,2,Zona Norte
875256,199,2,3,1,Subúrbio
209163,119,1,3,2,Zona Norte
625853,125,1,2,1,Subúrbio
201934,131,1,3,1,Zona Sul
870255,187,2,3,1,Zona Sul
575523,200,4,3,2,Centro
990530,241,4,2,2,Subúrbio
604137,281,4,2,1,Centro
155486,41,3,3,0,Subúrbio
289407,264,3,3,1,Zona Norte
800308,272,3,2,2,Zona Norte
777083,116,2,1,1,Centro
370184,155,3,3,2,Subúrbio
816490,193,2,1,2,Centro
499652,142,4,3,2,Zona Sul
911315,233,3,1,1,Centro
792612,205,3,1,2,Centro
472710,129,1,1,2,Zona Norte
347775,213,2,2,1,Centro
439336,161,4,1,2,Subúrbio
937494,182,1,1,1,Zona Norte
758364,145,1,1,2,Centro
239780,162,4,3,0,Zona Sul
302617,48,1,1,0,Centro
695977,112,2,3,2,Centro
947606,262,2,1,0,Centro
500605,80,3,1,1,Zona Norte
683636,243,1,2,0,Subúrbio
188102,217,3,3,2,Zona Sul
224460,123,1,1,2,Centro
514778,150,2,3,1,Subúrbio
239930,290,2,3,2,Subúrbio
681089,46,2,2,1,Zona Norte
777438,123,1,2,0,Zona Sul
877627,247,2,2,0,Zona Norte
329208,61,1,2,1,Subúrbio
304697,42,3,2,1,Subúrbio
363945,166,1,2,2,Subúrbio
381915,227,3,2,0,Zona Norte
877952,53,1,2,1,Zona Sul
358124,51,3,1,0,Centro
587477,126,2,3,1,Zona Norte
675830,51,3,2,0,Subúrbio
433821,64,2,2,2,Zona Norte
327804,282,2,3,0,Subúrbio
855703,161,3,1,0,Centro
189081,186,1,3,0,Centro
868216,94,1,3,0,Zona Sul
505249,277,4,2,0,Subúrbio
369930,212,1,3,2,Zona Sul
955497,260,4,3,1,Zona Sul
667313,158,1,2,0,Centro
364532,222,1,2,2,Zona Norte
762380,121,2,2,0,Zona Norte
669332,250,4,2,0,Zona Sul
466837,189,1,3,1,Centro
439106,76,4,3,0,Subúrbio
178295,98,2,1,2,Zona Norte
163807,170,2,1,2,Zona Sul
585564,241,4,3,1,Zona Norte
307504,282,2,1,0,Zona Norte
388067,74,3,3,2,Subúrbio
635008,132,3,1,0,Centro
842440,246,2,2,0,Subúrbio
544540,252,3,1,0,Centro
667923,198,1,2,1,Zona Norte
316981,63,4,2,0,Zona Sul
894699,43,1,2,2,Subúrbio
169870,259,4,2,0,Centro
353196,59,2,1,2,Zona Norte
398683,191,1,3,0,Centro
384677,89,2,2,2,Centro
176790,216,2,1,2,Centro
793162,135,4,2,0,Zona Norte
961721,144,4,1,0,Zona Sul
598345,289,4,1,2,Zona Sul
899074,156,1,1,1,Zona Sul
637462,267,3,3,0,Centro
689773,105,4,1,1,Zona Norte
980914,282,4,1,0,Centro
236188,225,1,3,0,Zona Sul
679036,285,4,3,0,Zona Sul
892129,164,1,1,0,Zona Norte
814795,170,2,3,1,Centro
940141,276,4,2,0,Subúrbio
798249,57,4,2,2,Subúrbio
180355,79,2,3,2,Zona Sul
861131,60,2,3,1,Zona Norte
601015,264,2,1,0,Centro
556332,47,4,3,2,Centro
306542,139,3,1,1,Zona Sul
323416,279,3,2,0,Zona Sul
455062,126,3,3,2,Centro
988656,53,4,1,2,Centro
713586,41,2,1,1,Zona Sul
651708,80,4,2,0,Centro
211629,150,2,3,0,Subúrbio
478184,53,4,2,2,Zona Sul
642734,270,4,1,2,Centro
905195,123,2,1,2,Zona Sul
440160,169,3,3,0,Zona Norte
698248,270,2,1,1,Zona Sul
970023,184,1,3,1,Zona Sul
363920,67,1,2,0,Zona Norte
392804,105,2,3,1,Subúrbio
526965,202,4,3,2,Centro
610857,268,1,1,1,Zona Norte
972827,203,1,1,1,Zona Sul
654492,49,4,3,1,Centro
803983,234,4,1,2,Zona Norte
565916,157,3,1,0,Centro
971052,119,4,1,2,Centro
908574,132,2,3,0,Zona Norte
278148,296,2,1,0,Centro
956991,172,3,3,0,Subúrbio
636261,210,1,1,1,Zona Norte
505540,40,1,2,1,Subúrbio
342714,103,4,1,0,Zona Sul
881899,160,2,1,0,Centro
433876,146,1,3,1,Zona Sul
409747,214,3,3,2,Zona Sul
765650,243,3,1,0,Centro
573570,204,2,2,2,Zona Norte
425987,159,3,1,1,Centro
788353,83,3,1,0,Zona Sul
167640,195,2,2,2,Zona Sul
202528,246,4,3,2,Zona Norte
974845,147,4,1,2,Centro
409214,290,3,3,1,Zona Sul
989070,169,4,3,1,Subúrbio
651108,59,4,2,2,Zona Sul
784421,40,3,2,2,Zona Sul
518501,158,4,3,1,Zona Norte
874226,74,3,1,2,Subúrbio
300159,237,1,3,2,Zona Sul
322502,284,2,1,1,Zona Sul
305576,98,2,1,2,Subúrbio
161023,200,4,2,2,Centro
695735,218,4,1,2,Centro
